N;AvoreAVL-Ordenada;AvoreRubroNegra-Ordenada;
371;6751;5399;
372;6772;5416;
373;6793;5432;
374;6814;5451;
375;6835;5467;
376;6856;5484;
377;6877;5500;
378;6898;5518;
379;6919;5534;
380;6940;5551;
381;6961;5567;
382;6982;5588;
383;7003;5605;
384;7024;5623;
385;7045;5640;
386;7066;5659;
387;7087;5676;
388;7108;5694;
389;7129;5711;
390;7150;5731;
391;7171;5748;
392;7192;5766;
393;7213;5783;
394;7234;5802;
395;7255;5819;
396;7276;5837;
397;7297;5854;
398;7318;5875;
399;7339;5892;
400;7360;5910;
401;7381;5927;
402;7402;5946;
403;7423;5963;
404;7444;5981;
405;7465;5998;
406;7486;6018;
407;7507;6035;
408;7528;6053;
409;7549;6070;
410;7570;6089;
411;7591;6106;
412;7612;6124;
413;7633;6141;
414;7654;6163;
415;7675;6180;
416;7696;6198;
417;7717;6215;
418;7738;6234;
419;7759;6251;
420;7780;6269;
421;7801;6286;
422;7822;6306;
423;7843;6323;
424;7864;6341;
425;7885;6358;
426;7906;6377;
427;7927;6394;
428;7948;6412;
429;7969;6429;
430;7990;6450;
431;8011;6467;
432;8032;6485;
433;8053;6502;
434;8074;6521;
435;8095;6538;
436;8116;6556;
437;8137;6573;
438;8158;6593;
439;8179;6610;
440;8200;6628;
441;8221;6645;
442;8242;6664;
443;8263;6681;
444;8284;6699;
445;8305;6716;
446;8326;6739;
447;8347;6756;
448;8368;6774;
449;8389;6791;
450;8410;6810;
451;8431;6827;
452;8452;6845;
453;8473;6862;
454;8494;6882;
455;8515;6899;
456;8536;6917;
457;8557;6934;
458;8578;6953;
459;8599;6970;
460;8620;6988;
461;8641;7005;
462;8662;7026;
463;8683;7043;
464;8704;7061;
465;8725;7078;
466;8746;7097;
467;8767;7114;
468;8788;7132;
469;8809;7149;
470;8830;7169;
471;8851;7186;
472;8872;7204;
473;8893;7221;
474;8914;7240;
475;8935;7257;
476;8956;7275;
477;8977;7292;
478;8998;7314;
479;9019;7331;
480;9040;7349;
481;9061;7366;
482;9082;7385;
483;9103;7402;
484;9124;7420;
485;9145;7437;
486;9166;7457;
487;9187;7474;
488;9208;7492;
489;9229;7509;
490;9250;7528;
491;9271;7545;
492;9292;7563;
493;9313;7580;
494;9334;7601;
495;9355;7618;
496;9376;7636;
497;9397;7653;
498;9418;7672;
499;9439;7689;
500;9460;7707;
501;9481;7724;
502;9502;7744;
503;9523;7761;
504;9544;7779;
505;9565;7796;
506;9586;7815;
507;9607;7832;
508;9628;7850;
509;9649;7867;
510;9670;7889;
511;9691;7907;
512;9710;7926;
513;9733;7944;
514;9756;7964;
515;9779;7982;
516;9802;8001;
517;9825;8019;
518;9848;8040;
519;9871;8058;
520;9894;8077;
521;9917;8095;
522;9940;8115;
523;9963;8133;
524;9986;8152;
525;10009;8170;
526;10032;8192;
527;10055;8210;
528;10078;8229;
529;10101;8247;
530;10124;8267;
531;10147;8285;
532;10170;8304;
533;10193;8322;
534;10216;8343;
535;10239;8361;
536;10262;8380;
537;10285;8398;
538;10308;8418;
539;10331;8436;
540;10354;8455;
541;10377;8473;
542;10400;8496;
543;10423;8514;
544;10446;8533;
545;10469;8551;
546;10492;8571;
547;10515;8589;
548;10538;8608;
549;10561;8626;
550;10584;8647;
551;10607;8665;
552;10630;8684;
553;10653;8702;
554;10676;8722;
555;10699;8740;
556;10722;8759;
557;10745;8777;
558;10768;8799;
559;10791;8817;
560;10814;8836;
561;10837;8854;
562;10860;8874;
563;10883;8892;
564;10906;8911;
565;10929;8929;
566;10952;8950;
567;10975;8968;
568;10998;8987;
569;11021;9005;
570;11044;9025;
571;11067;9043;
572;11090;9062;
573;11113;9080;
574;11136;9104;
575;11159;9122;
576;11182;9141;
577;11205;9159;
578;11228;9179;
579;11251;9197;
580;11274;9216;
581;11297;9234;
582;11320;9255;
583;11343;9273;
584;11366;9292;
585;11389;9310;
586;11412;9330;
587;11435;9348;
588;11458;9367;
589;11481;9385;
590;11504;9407;
591;11527;9425;
592;11550;9444;
593;11573;9462;
594;11596;9482;
595;11619;9500;
596;11642;9519;
597;11665;9537;
598;11688;9558;
599;11711;9576;
600;11734;9595;
601;11757;9613;
602;11780;9633;
603;11803;9651;
604;11826;9670;
605;11849;9688;
606;11872;9711;
607;11895;9729;
608;11918;9748;
609;11941;9766;
610;11964;9786;
611;11987;9804;
612;12010;9823;
613;12033;9841;
614;12056;9862;
615;12079;9880;
616;12102;9899;
617;12125;9917;
618;12148;9937;
619;12171;9955;
620;12194;9974;
621;12217;9992;
622;12240;10014;
623;12263;10032;
624;12286;10051;
625;12309;10069;
626;12332;10089;
627;12355;10107;
628;12378;10126;
629;12401;10144;
630;12424;10165;
631;12447;10183;
632;12470;10202;
633;12493;10220;
634;12516;10240;
635;12539;10258;
636;12562;10277;
637;12585;10295;
638;12608;10320;
639;12631;10338;
640;12654;10357;
641;12677;10375;
642;12700;10395;
643;12723;10413;
644;12746;10432;
645;12769;10450;
646;12792;10471;
647;12815;10489;
648;12838;10508;
649;12861;10526;
650;12884;10546;
651;12907;10564;
652;12930;10583;
653;12953;10601;
654;12976;10623;
655;12999;10641;
656;13022;10660;
657;13045;10678;
658;13068;10698;
659;13091;10716;
660;13114;10735;
661;13137;10753;
662;13160;10774;
663;13183;10792;
664;13206;10811;
665;13229;10829;
666;13252;10849;
667;13275;10867;
668;13298;10886;
669;13321;10904;
670;13344;10927;
671;13367;10945;
672;13390;10964;
673;13413;10982;
674;13436;11002;
675;13459;11020;
676;13482;11039;
677;13505;11057;
678;13528;11078;
679;13551;11096;
680;13574;11115;
681;13597;11133;
682;13620;11153;
683;13643;11171;
684;13666;11190;
685;13689;11208;
686;13712;11230;
687;13735;11248;
688;13758;11267;
689;13781;11285;
690;13804;11305;
691;13827;11323;
692;13850;11342;
693;13873;11360;
694;13896;11381;
695;13919;11399;
696;13942;11418;
697;13965;11436;
698;13988;11456;
699;14011;11474;
700;14034;11493;
701;14057;11511;
702;14080;11535;
703;14103;11553;
704;14126;11572;
705;14149;11590;
706;14172;11610;
707;14195;11628;
708;14218;11647;
709;14241;11665;
710;14264;11686;
711;14287;11704;
712;14310;11723;
713;14333;11741;
714;14356;11761;
715;14379;11779;
716;14402;11798;
717;14425;11816;
718;14448;11838;
719;14471;11856;
720;14494;11875;
721;14517;11893;
722;14540;11913;
723;14563;11931;
724;14586;11950;
725;14609;11968;
726;14632;11989;
727;14655;12007;
728;14678;12026;
729;14701;12044;
730;14724;12064;
731;14747;12082;
732;14770;12101;
733;14793;12119;
734;14816;12142;
735;14839;12160;
736;14862;12179;
737;14885;12197;
738;14908;12217;
739;14931;12235;
740;14954;12254;
741;14977;12272;
742;15000;12293;
743;15023;12311;
744;15046;12330;
745;15069;12348;
746;15092;12368;
747;15115;12386;
748;15138;12405;
749;15161;12423;
750;15184;12445;
751;15207;12463;
752;15230;12482;
753;15253;12500;
754;15276;12520;
755;15299;12538;
756;15322;12557;
757;15345;12575;
758;15368;12596;
759;15391;12614;
760;15414;12633;
761;15437;12651;
762;15460;12671;
763;15483;12689;
764;15506;12708;
765;15529;12726;
766;15552;12750;
767;15575;12769;
768;15598;12789;
769;15621;12808;
770;15644;12829;
771;15667;12848;
772;15690;12868;
773;15713;12887;
774;15736;12909;
775;15759;12928;
776;15782;12948;
777;15805;12967;
778;15828;12988;
779;15851;13007;
780;15874;13027;
781;15897;13046;
782;15920;13069;
783;15943;13088;
784;15966;13108;
785;15989;13127;
786;16012;13148;
787;16035;13167;
788;16058;13187;
789;16081;13206;
790;16104;13228;
791;16127;13247;
792;16150;13267;
793;16173;13286;
794;16196;13307;
795;16219;13326;
796;16242;13346;
797;16265;13365;
798;16288;13389;
799;16311;13408;
800;16334;13428;
801;16357;13447;
802;16380;13468;
803;16403;13487;
804;16426;13507;
805;16449;13526;
806;16472;13548;
807;16495;13567;
808;16518;13587;
809;16541;13606;
810;16564;13627;
811;16587;13646;
812;16610;13666;
813;16633;13685;
814;16656;13708;
815;16679;13727;
816;16702;13747;
817;16725;13766;
818;16748;13787;
819;16771;13806;
820;16794;13826;
821;16817;13845;
822;16840;13867;
823;16863;13886;
824;16886;13906;
825;16909;13925;
826;16932;13946;
827;16955;13965;
828;16978;13985;
829;17001;14004;
830;17024;14029;
831;17047;14048;
832;17070;14068;
833;17093;14087;
834;17116;14108;
835;17139;14127;
836;17162;14147;
837;17185;14166;
838;17208;14188;
839;17231;14207;
840;17254;14227;
841;17277;14246;
842;17300;14267;
843;17323;14286;
844;17346;14306;
845;17369;14325;
846;17392;14348;
847;17415;14367;
848;17438;14387;
849;17461;14406;
850;17484;14427;
851;17507;14446;
852;17530;14466;
853;17553;14485;
854;17576;14507;
855;17599;14526;
856;17622;14546;
857;17645;14565;
858;17668;14586;
859;17691;14605;
860;17714;14625;
861;17737;14644;
862;17760;14668;
863;17783;14687;
864;17806;14707;
865;17829;14726;
866;17852;14747;
867;17875;14766;
868;17898;14786;
869;17921;14805;
870;17944;14827;
871;17967;14846;
872;17990;14866;
873;18013;14885;
874;18036;14906;
875;18059;14925;
876;18082;14945;
877;18105;14964;
878;18128;14987;
879;18151;15006;
880;18174;15026;
881;18197;15045;
882;18220;15066;
883;18243;15085;
884;18266;15105;
885;18289;15124;
886;18312;15146;
887;18335;15165;
888;18358;15185;
889;18381;15204;
890;18404;15225;
891;18427;15244;
892;18450;15264;
893;18473;15283;
894;18496;15309;
895;18519;15328;
896;18542;15348;
897;18565;15367;
898;18588;15388;
899;18611;15407;
900;18634;15427;
901;18657;15446;
902;18680;15468;
903;18703;15487;
904;18726;15507;
905;18749;15526;
906;18772;15547;
907;18795;15566;
908;18818;15586;
909;18841;15605;
910;18864;15628;
911;18887;15647;
912;18910;15667;
913;18933;15686;
914;18956;15707;
915;18979;15726;
916;19002;15746;
917;19025;15765;
918;19048;15787;
919;19071;15806;
920;19094;15826;
921;19117;15845;
922;19140;15866;
923;19163;15885;
924;19186;15905;
925;19209;15924;
926;19232;15948;
927;19255;15967;
928;19278;15987;
929;19301;16006;
930;19324;16027;
931;19347;16046;
932;19370;16066;
933;19393;16085;
934;19416;16107;
935;19439;16126;
936;19462;16146;
937;19485;16165;
938;19508;16186;
939;19531;16205;
940;19554;16225;
941;19577;16244;
942;19600;16267;
943;19623;16286;
944;19646;16306;
945;19669;16325;
946;19692;16346;
947;19715;16365;
948;19738;16385;
949;19761;16404;
950;19784;16426;
951;19807;16445;
952;19830;16465;
953;19853;16484;
954;19876;16505;
955;19899;16524;
956;19922;16544;
957;19945;16563;
958;19968;16588;
959;19991;16607;
960;20014;16627;
961;20037;16646;
962;20060;16667;
963;20083;16686;
964;20106;16706;
965;20129;16725;
966;20152;16747;
967;20175;16766;
968;20198;16786;
969;20221;16805;
970;20244;16826;
971;20267;16845;
972;20290;16865;
973;20313;16884;
974;20336;16907;
975;20359;16926;
976;20382;16946;
977;20405;16965;
978;20428;16986;
979;20451;17005;
980;20474;17025;
981;20497;17044;
982;20520;17066;
983;20543;17085;
984;20566;17105;
985;20589;17124;
986;20612;17145;
987;20635;17164;
988;20658;17184;
989;20681;17203;
990;20704;17227;
991;20727;17246;
992;20750;17266;
993;20773;17285;
994;20796;17306;
995;20819;17325;
996;20842;17345;
997;20865;17364;
998;20888;17386;
999;20911;17405;
1000;20934;17425;
